arrest_year,sex,age_cohort,category,neighbourhood
2022,Female,<18,Other Criminal Code Violations,O'Connor-Parkview
2022,Male,<18,Crimes Against the Person,Church-Wellesley
2022,Male,45 to 54,Other Criminal Code Violations,Wellington Place
2022,Female,45 to 54,Crimes Against the Person,Willowdale West
2022,Male,55 to 64,Controlled Drugs and Substances Act,Corso Italia-Davenport
2022,Male,25 to 34,Other Criminal Code Violations,Elms-Old Rexdale
2022,Male,45 to 54,Crimes Against the Person,York University Heights
2022,Male,18 to 24,Crimes Against the Person,Fenside-Parkwoods
2022,Female,25 to 34,Crimes Against Property,Fort York-Liberty Village
2022,Male,35 to 44,Crimes Against the Person,High Park North
2022,Male,18 to 24,Other Criminal Code Violations,Yonge-Bay Corridor
2022,Female,25 to 34,Crimes Against the Person,O'Connor-Parkview
2022,Female,45 to 54,Crimes Against the Person,Eglinton East
2022,Female,45 to 54,Crimes Against the Person,Danforth
2022,Male,<18,Other Criminal Code Violations,Agincourt South-Malvern West
2022,Male,35 to 44,Crimes Against Property,Kensington-Chinatown
2022,Male,18 to 24,Crimes Against Property,O'Connor-Parkview
2022,Male,18 to 24,Crimes Against Property,Weston
2022,Female,25 to 34,Controlled Drugs and Substances Act,Regent Park
2022,Male,45 to 54,Crimes Against Property,Yonge-St.Clair
2022,Female,25 to 34,Crimes Against the Person,Eglinton East
2022,Female,35 to 44,Crimes Against Property,Mimico-Queensway
2022,Female,35 to 44,Crimes Against the Person,Willowdale West
2022,Female,45 to 54,Other Criminal Code Violations,Long Branch
2022,Female,25 to 34,Crimes Against Property,Pelmo Park-Humberlea
2022,Male,45 to 54,Crimes Against the Person,South Parkdale
2022,Female,18 to 24,Controlled Drugs and Substances Act,Yorkdale-Glen Park
2022,Male,55 to 64,Other Criminal Code Violations,St.Andrew-Windfields
2022,Female,25 to 34,Crimes Against Property,Pelmo Park-Humberlea
2022,Female,35 to 44,Other Criminal Code Violations,Oakwood Village
2022,Male,18 to 24,Crimes Against the Person,Rosedale-Moore Park
2022,Male,<18,Crimes Against the Person,Bayview Village
2022,Male,45 to 54,Crimes Against Property,Moss Park
2022,Female,65+,Crimes Against the Person,Annex
2022,Male,35 to 44,Crimes Against the Person,Kennedy Park
