arrest_year,sex,age_cohort,category,neighbourhood
2021,Male,25 to 34,Other Criminal Code Violations,Bathurst Manor
2020,Male,55 to 64,Crimes Against the Person,Avondale
2021,Male,18 to 24,Crimes Against the Person,Humewood-Cedarvale
2017,Female,45 to 54,Crimes Against Property,Centennial Scarborough
2017,Female,18 to 24,Crimes Against the Person,Oakdale-Beverley Heights
2018,Male,35 to 44,Crimes Against Property,Junction-Wallace Emerson
2017,Male,35 to 44,Crimes Against Property,Etobicoke City Centre
2016,Male,<18,Crimes Against Property,Cliffcrest
2015,Male,18 to 24,Crimes Against Property,O'Connor-Parkview
2015,Male,45 to 54,Crimes Against the Person,Birchcliffe-Cliffside
2014,Male,18 to 24,Crimes Against Property,Birchcliffe-Cliffside
2019,Male,55 to 64,Crimes Against the Person,Downsview
2018,Male,45 to 54,Crimes Against Property,Etobicoke West Mall
2022,Male,35 to 44,Crimes Against the Person,Weston
2020,Male,25 to 34,Crimes Against the Person,Dorset Park
2022,Male,45 to 54,Crimes Against Property,Woodbine-Lumsden
2018,Male,18 to 24,Crimes Against the Person,Cabbagetown-South St.James Town
2014,Male,45 to 54,Criminal Code Traffic,East L'Amoreaux
2016,Male,18 to 24,Other Criminal Code Violations,Dufferin Grove
2017,Male,55 to 64,Controlled Drugs and Substances Act,Keelesdale-Eglinton West
2022,Male,65+,Crimes Against the Person,O'Connor-Parkview
2017,Male,18 to 24,Controlled Drugs and Substances Act,O'Connor-Parkview
2020,Male,45 to 54,Controlled Drugs and Substances Act,Regent Park
2015,Female,18 to 24,Crimes Against Property,Woburn North
2019,Female,18 to 24,Other Criminal Code Violations,Clairlea-Birchmount
2018,Female,35 to 44,Controlled Drugs and Substances Act,North St.James Town
2021,Male,35 to 44,Controlled Drugs and Substances Act,Birchcliffe-Cliffside
2019,Female,55 to 64,Crimes Against Property,Pelmo Park-Humberlea
2022,Male,35 to 44,Crimes Against Property,Agincourt North
2021,Male,45 to 54,Crimes Against the Person,Stonegate-Queensway
2015,Female,35 to 44,Criminal Code Traffic,Mimico-Queensway
2015,Male,18 to 24,Crimes Against the Person,Clairlea-Birchmount
2014,Male,55 to 64,Crimes Against Property,Don Valley Village
2014,Male,<18,Crimes Against the Person,Rexdale-Kipling
2022,Female,18 to 24,Other Criminal Code Violations,Wexford/Maryvale
2018,Male,55 to 64,Criminal Code Traffic,South Riverdale
2020,Male,25 to 34,Other Criminal Code Violations,Trinity-Bellwoods
