_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
129,2019,D11,171,Junction-Wallace Emerson (171),Male,18 to 24,Adult,Crimes Against the Person,Other,3
130,2014,D52,166,St Lawrence-East Bayfront-The Islands (166),Female,35 to 44,Adult,Other Criminal Code Violations,Other,1
131,2020,D55,57,Broadview North (57),Male,45 to 54,Adult,Crimes Against the Person,Assaults,4
132,2016,D12,111,Rockcliffe-Smythe (111),Female,45 to 54,Adult,Crimes Against the Person,Assaults,3
133,2020,D14,80,Palmerston-Little Italy (80),Male,18 to 24,Adult,Other Criminal Code Violations,Other,3
134,2021,D42,145,Malvern West (145),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
135,2016,D12,111,Rockcliffe-Smythe (111),Male,18 to 24,Adult,Crimes Against the Person,Assaults,12
136,2014,D43,139,Scarborough Village (139),Male,65+,Adult,Crimes Against the Person,Assaults,2
137,2015,D11,86,Roncesvalles (86),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,3
138,2017,D22,16,Stonegate-Queensway (16),Female,25 to 34,Adult,Crimes Against the Person,Assaults,6
139,2019,D32,31,Yorkdale-Glen Park (31),Female,<18,Youth,Crimes Against the Person,Other,2
140,2020,D42,144,Morningside Heights (144),Male,18 to 24,Adult,Crimes Against Property,Theft Over $5000,1
141,2016,D31,27,York University Heights (27),Unknown,18 to 24,Adult,Crimes Against the Person,Other,1
142,2018,D43,135,Morningside (135),Female,18 to 24,Adult,Crimes Against the Person,Other,2
143,2022,D31,155,Downsview (155),Male,35 to 44,Adult,Crimes Against the Person,Other,4
144,2016,D43,138,Eglinton East (138),Male,25 to 34,Adult,Criminal Code Traffic,Refuse Sample,1
145,2022,D11,91,Weston-Pelham Park (91),Male,25 to 34,Adult,Other Criminal Code Violations,Other,8
146,2022,D51,73,Moss Park (73),Male,<18,Youth,Crimes Against the Person,Assaults,3
147,2018,D51,72,Regent Park (72),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,3
148,2016,D31,27,York University Heights (27),Male,<18,Youth,Controlled Drugs and Substances Act,Other,2
149,2022,D32,27,York University Heights (27),Female,25 to 34,Adult,Crimes Against Property,Other,6
150,2021,D11,88,High Park North (88),Male,18 to 24,Adult,Crimes Against the Person,Assaults,1
151,2015,D31,22,Humbermede (22),Male,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,1
152,2017,NSA,NSA,NSA,Male,55 to 64,Adult,Crimes Against Property,Other,2
153,2020,D43,135,Morningside (135),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,2
154,2015,D22,18,New Toronto (18),Female,45 to 54,Adult,Crimes Against Property,Other,1
155,2020,D53,100,Yonge-Eglinton (100),Male,25 to 34,Adult,Other Criminal Code Violations,Other,11
156,2019,D32,153,Avondale (153),Male,18 to 24,Adult,Other Criminal Code Violations,Other,2
157,2022,D12,115,Mount Dennis (115),Male,<18,Youth,Crimes Against the Person,Robbery,1
