_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
19027,2019,D43,133,Centennial Scarborough (133),Female,<18,Youth,Crimes Against Property,Other,5
19028,2021,D51,74,North St.James Town (74),Female,45 to 54,Adult,Crimes Against the Person,Assaults,1
19029,2016,D55,57,Broadview North (57),Female,35 to 44,Adult,Crimes Against Property,Theft Under $5000,1
19030,2019,D32,37,Willowdale West (37),Male,25 to 34,Adult,Crimes Against the Person,Other,5
19031,2018,D53,56,Leaside-Bennington (56),Male,18 to 24,Adult,Crimes Against the Person,Other,1
19032,2022,D14,172,Dovercourt Village (172),Male,<18,Youth,Crimes Against Property,Other,3
19033,2019,D32,31,Yorkdale-Glen Park (31),Male,65+,Adult,Other Criminal Code Violations,Other,1
19034,2019,D55,68,North Riverdale (68),Female,35 to 44,Adult,Crimes Against Property,Other,2
19035,2018,D51,166,St Lawrence-East Bayfront-The Islands (166),Male,25 to 34,Adult,Crimes Against the Person,Assaults,9
19036,2016,D22,15,Kingsway South (15),Male,<18,Youth,Crimes Against the Person,Robbery,3
19037,2015,D22,19,Long Branch (19),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
19038,2015,D43,133,Centennial Scarborough (133),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,1
19039,2022,D33,49,Bayview Woods-Steeles (49),Male,18 to 24,Adult,Other Criminal Code Violations,Other,2
19040,2017,D23,22,Humbermede (22),Male,25 to 34,Adult,Other Criminal Code Violations,Other,3
19041,2020,D11,171,Junction-Wallace Emerson (171),Male,<18,Youth,Crimes Against the Person,Firearm-Related,2
19042,2021,D51,168,Downtown Yonge East (168),Female,18 to 24,Adult,Crimes Against the Person,Assaults,6
19043,2015,D52,165,Harbourfront-CityPlace (165),Female,18 to 24,Adult,Crimes Against the Person,Assaults,3
19044,2016,D12,28,Rustic (28),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,1
19045,2014,D55,58,Old East York (58),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,2
19046,2014,D55,61,Taylor-Massey (61),Male,35 to 44,Adult,Crimes Against the Person,Assaults,15
19047,2017,D12,110,Keelesdale-Eglinton West (110),Male,<18,Youth,Crimes Against the Person,Robbery,4
19048,2016,D43,136,West Hill (136),Male,35 to 44,Adult,Crimes Against Property,Fraud,1
19049,2022,D14,85,South Parkdale (85),Male,<18,Youth,Crimes Against Property,Other,1
19050,2021,D14,95,Annex (95),Male,18 to 24,Adult,Other Criminal Code Violations,Firearm-Related,1
19051,2015,D43,138,Eglinton East (138),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
19052,2016,D22,160,Mimico-Queensway (160),Male,18 to 24,Adult,Crimes Against the Person,Other,1
19053,2016,D42,144,Morningside Heights (144),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4
19054,2014,D22,15,Kingsway South (15),Female,25 to 34,Adult,Crimes Against the Person,Assaults,1
19055,2021,D32,151,Yonge-Doris (151),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,1
19056,2015,D43,134,Highland Creek (134),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,3
19057,2022,D43,139,Scarborough Village (139),Male,<18,Youth,Other Criminal Code Violations,Other,2
19058,2017,D41,138,Eglinton East (138),Male,35 to 44,Adult,Other Criminal Code Violations,Other,10
19059,2019,D13,94,Wychwood (94),Female,55 to 64,Adult,Crimes Against Property,Fraud,1
19060,2021,D23,4,Rexdale-Kipling (4),Male,18 to 24,Adult,Crimes Against the Person,Assaults,3
19061,2021,D11,91,Weston-Pelham Park (91),Female,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
19062,2015,D13,96,Casa Loma (96),Male,25 to 34,Adult,Crimes Against Property,Theft Over $5000,1
19063,2015,D11,86,Roncesvalles (86),Male,35 to 44,Adult,Crimes Against the Person,Other,2
19064,2021,D52,168,Downtown Yonge East (168),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
19065,2014,D31,21,Humber Summit (21),Male,18 to 24,Adult,Crimes Against the Person,Robbery,5
19066,2019,D32,33,Clanton Park (33),Male,55 to 64,Adult,Crimes Against the Person,Other,2
19067,2015,D55,70,South Riverdale (70),Female,18 to 24,Adult,Crimes Against Property,Theft Over $5000,1
19068,2017,D52,164,Wellington Place (164),Male,65+,Adult,Other Criminal Code Violations,Other,1
19069,2016,D42,118,Tam O'Shanter-Sullivan (118),Male,45 to 54,Adult,Crimes Against the Person,Other,3
19070,2016,D14,165,Harbourfront-CityPlace (165),Female,35 to 44,Adult,Crimes Against Property,Other,1
19071,2015,D43,139,Scarborough Village (139),Female,35 to 44,Adult,Crimes Against the Person,Other,1
19072,2015,NSA,NSA,NSA,Female,<18,Youth,Crimes Against the Person,Other,1
19073,2022,D52,164,Wellington Place (164),Male,<18,Youth,Crimes Against Property,Other,1
19074,2020,D22,16,Stonegate-Queensway (16),Male,<18,Youth,Crimes Against the Person,Sexual Violations,2
19075,2022,D13,92,Corso Italia-Davenport (92),Male,55 to 64,Adult,Other Criminal Code Violations,Other,1
19076,2014,D43,143,West Rouge (143),Male,25 to 34,Adult,Crimes Against Property,Other,1
19077,2016,D42,146,Malvern East (146),Male,<18,Youth,Controlled Drugs and Substances Act,Other,2
19078,2015,D14,164,Wellington Place (164),Male,25 to 34,Adult,Criminal Code Traffic,Dangerous Driving,1
19079,2020,D52,167,Church-Wellesley (167),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
19080,2014,D55,69,Blake-Jones (69),Male,<18,Youth,Crimes Against the Person,Other,2
19081,2016,D33,149,Parkwoods-O'Connor Hills (149),Male,35 to 44,Adult,Other Criminal Code Violations,Other,6
19082,2018,D13,108,Briar Hill-Belgravia (108),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
19083,2021,D22,13,Etobicoke West Mall (13),Female,45 to 54,Adult,Crimes Against the Person,Assaults,1
19084,2019,D43,136,West Hill (136),Male,25 to 34,Adult,Crimes Against the Person,Assaults,49
19085,2020,D53,102,Forest Hill North (102),Male,35 to 44,Adult,Crimes Against Property,Other,1
19086,2017,D41,123,Cliffcrest (123),Male,35 to 44,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
19087,2021,D23,8,Humber Heights-Westmount (8),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,1
19088,2014,D31,154,Oakdale-Beverley Heights (154),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,13
19089,2014,D11,87,High Park-Swansea (87),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,3
19090,2014,D31,154,Oakdale-Beverley Heights (154),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,10
19091,2017,D42,130,Milliken (130),Male,25 to 34,Adult,Crimes Against the Person,Assaults,6
19092,2021,D12,30,Brookhaven-Amesbury (30),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,1
19093,2018,D42,128,Agincourt South-Malvern West (128),Male,55 to 64,Adult,Other Criminal Code Violations,Other,3
19094,2019,D43,136,West Hill (136),Female,55 to 64,Adult,Crimes Against the Person,Assaults,1
19095,2018,D31,27,York University Heights (27),Female,25 to 34,Adult,Other Criminal Code Violations,Other,7
19096,2020,D32,34,Bathurst Manor (34),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,1
19097,2021,D41,124,Kennedy Park (124),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,1
19098,2014,D22,159,Etobicoke City Centre (159),Female,18 to 24,Adult,Crimes Against the Person,Assaults,3
19099,2015,D12,111,Rockcliffe-Smythe (111),Male,45 to 54,Adult,Crimes Against Property,Other,8
19100,2018,D13,109,Caledonia-Fairbank (109),Male,35 to 44,Adult,Crimes Against the Person,Other,3
19101,2016,D53,95,Annex (95),Male,45 to 54,Adult,Other Criminal Code Violations,Other,5
19102,2021,D51,73,Moss Park (73),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,4
19103,2019,D14,165,Harbourfront-CityPlace (165),Male,35 to 44,Adult,Crimes Against the Person,Sexual Violations,1
19104,2020,D43,138,Eglinton East (138),Male,35 to 44,Adult,Other Criminal Code Violations,Other,9
19105,2019,D55,65,Greenwood-Coxwell (65),Male,45 to 54,Adult,Crimes Against Property,Other,1
19106,2021,D42,145,Malvern West (145),Female,55 to 64,Adult,Crimes Against Property,Other,1
19107,2021,D23,7,Willowridge-Martingrove-Richview (7),Male,35 to 44,Adult,Crimes Against Property,Other,4
19108,2018,D55,65,Greenwood-Coxwell (65),Female,25 to 34,Adult,Other Criminal Code Violations,Other,3
19109,2019,D51,167,Church-Wellesley (167),Female,25 to 34,Adult,Crimes Against the Person,Other,2
19110,2014,D52,170,Yonge-Bay Corridor (170),Female,25 to 34,Adult,Crimes Against Property,Theft Over $5000,2
19111,2015,D43,135,Morningside (135),Male,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
19112,2014,D14,80,Palmerston-Little Italy (80),Female,35 to 44,Adult,Crimes Against the Person,Assaults,1
19113,2016,D32,27,York University Heights (27),Male,55 to 64,Adult,Other Criminal Code Violations,Other,2
19114,2014,D53,55,Thorncliffe Park (55),Female,55 to 64,Adult,Crimes Against Property,Fraud,1
19115,2019,D41,126,Dorset Park (126),Male,18 to 24,Adult,Crimes Against the Person,Assaults,10
19116,2021,D11,84,Little Portugal (84),Male,35 to 44,Adult,Crimes Against Property,Other,3
19117,2015,D22,161,Humber Bay Shores (161),Male,25 to 34,Adult,Crimes Against the Person,Attempted Murder,1
19118,2015,D52,170,Yonge-Bay Corridor (170),Female,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
19119,2015,D22,20,Alderwood (20),Female,35 to 44,Adult,Crimes Against Property,Fraud,1
19120,2014,D22,16,Stonegate-Queensway (16),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,2
19121,2022,D12,23,Pelmo Park-Humberlea (23),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,3
19122,2017,D52,164,Wellington Place (164),Male,18 to 24,Adult,Crimes Against the Person,Other,6
19123,2021,D41,124,Kennedy Park (124),Male,65+,Adult,Crimes Against the Person,Assaults,1
19124,2015,D52,168,Downtown Yonge East (168),Female,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
19125,2016,D43,136,West Hill (136),Male,55 to 64,Adult,Crimes Against the Person,Assaults,9
19126,2018,D14,84,Little Portugal (84),Female,35 to 44,Adult,Other Criminal Code Violations,Other,1
19127,2016,D51,72,Regent Park (72),Male,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,1
19128,2017,D31,155,Downsview (155),Female,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
19129,2022,D33,52,Bayview Village (52),Male,<18,Youth,Crimes Against the Person,Sexual Violations,1
19130,2015,D43,140,Guildwood (140),Male,<18,Youth,Crimes Against the Person,Other,1
19131,2014,D33,149,Parkwoods-O'Connor Hills (149),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,3
19132,2020,D33,149,Parkwoods-O'Connor Hills (149),Female,55 to 64,Adult,Other Criminal Code Violations,Other,2
19133,2016,D13,92,Corso Italia-Davenport (92),Female,18 to 24,Adult,Crimes Against the Person,Assaults,1
19134,2014,D53,99,Mount Pleasant East (99),Male,65+,Adult,Other Criminal Code Violations,Other,1
19135,2017,D41,120,Clairlea-Birchmount (120),Male,55 to 64,Adult,Crimes Against Property,Break and Enter,1
19136,2016,D22,19,Long Branch (19),Male,18 to 24,Adult,Crimes Against the Person,Sexual Violations,1
19137,2017,D14,79,University (79),Male,18 to 24,Adult,Crimes Against Property,Fraud,4
19138,2020,D14,163,Fort York-Liberty Village (163),Male,<18,Youth,Other Criminal Code Violations,Other,1
19139,2018,D55,68,North Riverdale (68),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,2
19140,2014,D14,81,Trinity-Bellwoods (81),Male,55 to 64,Adult,Crimes Against Property,Other,3
19141,2021,D43,139,Scarborough Village (139),Male,<18,Youth,Crimes Against the Person,Sexual Violations,1
19142,2018,D11,87,High Park-Swansea (87),Female,25 to 34,Adult,Crimes Against the Person,Firearm-Related,1
19143,2014,D11,171,Junction-Wallace Emerson (171),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,5
19144,2018,D53,173,North Toronto (173),Female,25 to 34,Adult,Crimes Against the Person,Assaults,2
19145,2017,D14,163,Fort York-Liberty Village (163),Male,18 to 24,Adult,Crimes Against the Person,Robbery,1
19146,2014,D32,50,Newtonbrook East (50),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,4
19147,2015,D22,160,Mimico-Queensway (160),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,3
19148,2022,D13,108,Briar Hill-Belgravia (108),Female,18 to 24,Adult,Crimes Against the Person,Assaults,4
19149,2022,D33,47,Don Valley Village (47),Male,18 to 24,Adult,Crimes Against the Person,Firearm-Related,1
19150,2015,D31,155,Downsview (155),Male,35 to 44,Adult,Crimes Against Property,Fraud,1
19151,2021,D12,NSA,NSA,Male,35 to 44,Adult,Other Criminal Code Violations,Other,1
19152,2019,D32,33,Clanton Park (33),Male,<18,Youth,Other Criminal Code Violations,Other,1
19153,2017,D55,58,Old East York (58),Female,18 to 24,Adult,Other Criminal Code Violations,Other,1
19154,2016,D11,87,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against Property,Fraud,1
19155,2016,D23,1,West Humber-Clairville (1),Female,55 to 64,Adult,Crimes Against Property,Theft Under $5000,2
19156,2015,D41,125,Ionview (125),Male,<18,Youth,Crimes Against Property,Break and Enter,1
19157,2022,D32,31,Yorkdale-Glen Park (31),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,5
19158,2017,D43,138,Eglinton East (138),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,3
19159,2016,D31,155,Downsview (155),Female,45 to 54,Adult,Crimes Against Property,Other,1
19160,2017,D13,32,Englemount-Lawrence (32),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,1
19161,2015,D53,173,North Toronto (173),Male,45 to 54,Adult,Crimes Against the Person,Assaults,2
19162,2014,D22,159,Etobicoke City Centre (159),Male,55 to 64,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
19163,2017,D41,121,Oakridge (121),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,3
19164,2022,D43,136,West Hill (136),Male,25 to 34,Adult,Crimes Against the Person,Assaults,40
19165,2015,D32,32,Englemount-Lawrence (32),Male,45 to 54,Adult,Other Criminal Code Violations,Other,4
19166,2018,D22,19,Long Branch (19),Male,45 to 54,Adult,Crimes Against the Person,Robbery,1
19167,2018,D53,98,Rosedale-Moore Park (98),Female,<18,Youth,Crimes Against the Person,Assaults,1
19168,2021,D13,94,Wychwood (94),Male,35 to 44,Adult,Crimes Against the Person,Assaults,5
19169,2014,D11,85,South Parkdale (85),Female,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
19170,2014,D55,61,Taylor-Massey (61),Female,45 to 54,Adult,Other Criminal Code Violations,Other,1
19171,2016,D43,143,West Rouge (143),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,2
19172,2014,D12,30,Brookhaven-Amesbury (30),Male,55 to 64,Adult,Crimes Against Property,Theft Over $5000,1
19173,2020,D32,32,Englemount-Lawrence (32),Male,35 to 44,Adult,Crimes Against Property,Fraud,1
19174,2017,D13,109,Caledonia-Fairbank (109),Female,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
19175,2020,D32,152,East Willowdale (152),Male,35 to 44,Adult,Crimes Against the Person,Assaults,3
19176,2020,D14,172,Dovercourt Village (172),Female,45 to 54,Adult,Crimes Against the Person,Assaults,1
19177,2016,D12,111,Rockcliffe-Smythe (111),Female,35 to 44,Adult,Other Criminal Code Violations,Other,2
19178,2020,D22,161,Humber Bay Shores (161),Male,<18,Youth,Other Criminal Code Violations,Other,1
19179,2021,D14,162,West Queen West (162),Female,25 to 34,Adult,Crimes Against the Person,Assaults,3
19180,2018,D51,166,St Lawrence-East Bayfront-The Islands (166),Male,55 to 64,Adult,Crimes Against Property,Other,3
19181,2018,D23,8,Humber Heights-Westmount (8),Male,<18,Youth,Crimes Against Property,Other,2
19182,2017,D31,27,York University Heights (27),Female,18 to 24,Adult,Crimes Against Property,Other,6
19183,2016,D12,111,Rockcliffe-Smythe (111),Male,<18,Youth,Crimes Against Property,Other,5
19184,2020,D23,7,Willowridge-Martingrove-Richview (7),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,2
19185,2021,D23,2,Mount Olive-Silverstone-Jamestown (2),Female,<18,Youth,Crimes Against the Person,Assaults,1
19186,2021,D22,19,Long Branch (19),Female,<18,Youth,Crimes Against the Person,Robbery,1
19187,2020,D32,31,Yorkdale-Glen Park (31),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,10
19188,2018,D11,87,High Park-Swansea (87),Male,25 to 34,Adult,Crimes Against the Person,Assaults,7
19189,2016,D41,156,Bendale-Glen Andrew (156),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,4
19190,2016,D52,169,Bay-Cloverhill (169),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,12
19191,2020,D32,40,St.Andrew-Windfields (40),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
19192,2018,D43,138,Eglinton East (138),Male,<18,Youth,Crimes Against the Person,Assaults,1
19193,2020,D43,142,Woburn North (142),Male,35 to 44,Adult,Crimes Against Property,Other,5
19194,2014,D12,23,Pelmo Park-Humberlea (23),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,17
19195,2017,D33,44,Flemingdon Park (44),Male,35 to 44,Adult,Other Criminal Code Violations,Other,1
19196,2015,D51,72,Regent Park (72),Male,25 to 34,Adult,Criminal Code Traffic,Other,1
19197,2021,D32,36,Newtonbrook West (36),Male,18 to 24,Adult,Crimes Against Property,Fraud,1
19198,2020,D55,65,Greenwood-Coxwell (65),Male,35 to 44,Adult,Other Criminal Code Violations,Other,14
19199,2014,D33,53,Henry Farm (53),Male,18 to 24,Adult,Crimes Against Property,Other,3
19200,2020,D12,23,Pelmo Park-Humberlea (23),Female,18 to 24,Adult,Crimes Against Property,Other,1
19201,2020,D14,165,Harbourfront-CityPlace (165),Male,25 to 34,Adult,Crimes Against Property,Fraud,1
19202,2014,D14,95,Annex (95),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
19203,2022,D53,173,North Toronto (173),Male,65+,Adult,Controlled Drugs and Substances Act,Other,1
19204,2022,D41,125,Ionview (125),Male,<18,Youth,Crimes Against Property,Other,1
19205,2020,D22,158,Islington (158),Male,25 to 34,Adult,Crimes Against Property,Fraud,1
19206,2019,D43,156,Bendale-Glen Andrew (156),Male,35 to 44,Adult,Crimes Against the Person,Assaults,4
19207,2017,D32,37,Willowdale West (37),Male,55 to 64,Adult,Criminal Code Traffic,Dangerous Driving,1
19208,2017,D14,81,Trinity-Bellwoods (81),Female,25 to 34,Adult,Crimes Against the Person,Assaults,4
19209,2018,D55,63,The Beaches (63),Male,<18,Youth,Crimes Against Property,Break and Enter,3
19210,2015,D53,173,North Toronto (173),Male,25 to 34,Adult,Crimes Against the Person,Firearm-Related,1
19211,2015,D11,84,Little Portugal (84),Female,65+,Adult,Crimes Against Property,Theft Under $5000,1
19212,2017,D12,111,Rockcliffe-Smythe (111),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,1
19213,2018,D31,154,Oakdale-Beverley Heights (154),Female,65+,Adult,Crimes Against the Person,Other,1
19214,2020,D22,20,Alderwood (20),Male,35 to 44,Adult,Other Criminal Code Violations,Other,2
19215,2017,D32,31,Yorkdale-Glen Park (31),Female,18 to 24,Adult,Crimes Against Property,Theft Under $5000,59
19216,2017,D11,114,Lambton Baby Point (114),Male,18 to 24,Adult,Crimes Against Property,Fraud,1
19217,2019,D13,101,Forest Hill South (101),Male,<18,Youth,Crimes Against the Person,Other,1
19218,2021,D32,151,Yonge-Doris (151),Male,45 to 54,Adult,Crimes Against the Person,Assaults,2
19219,2014,D33,46,Pleasant View (46),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,1
19220,2017,D42,148,East L'Amoreaux (148),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,2
19221,2018,D42,129,Agincourt North (129),Female,35 to 44,Adult,Crimes Against Property,Other,1
19222,2017,D53,99,Mount Pleasant East (99),Female,35 to 44,Adult,Crimes Against the Person,Assaults,2
19223,2022,D41,124,Kennedy Park (124),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,2
19224,2014,D32,NSA,NSA,Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
19225,2016,D55,70,South Riverdale (70),Male,55 to 64,Adult,Crimes Against the Person,Other,1
19226,2019,D43,138,Eglinton East (138),Female,35 to 44,Adult,Crimes Against Property,Other,3
19227,2018,D43,136,West Hill (136),Female,18 to 24,Adult,Crimes Against Property,Fraud,1
19228,2022,D22,20,Alderwood (20),Female,18 to 24,Adult,Crimes Against the Person,Assaults,1
19229,2020,D33,47,Don Valley Village (47),Male,18 to 24,Adult,Crimes Against Property,Other,2
19230,2018,D31,21,Humber Summit (21),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,1
19231,2017,D33,42,Banbury-Don Mills (42),Male,55 to 64,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
19232,2022,D31,155,Downsview (155),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
19233,2015,D52,170,Yonge-Bay Corridor (170),Male,<18,Youth,Crimes Against Property,Other,2
19234,2015,D41,124,Kennedy Park (124),Female,45 to 54,Adult,Crimes Against Property,Fraud,1
19235,2020,D51,72,Regent Park (72),Female,25 to 34,Adult,Crimes Against the Person,Assaults,5
19236,2021,D31,22,Humbermede (22),Female,18 to 24,Adult,Crimes Against Property,Other,1
19237,2018,D42,145,Malvern West (145),Male,45 to 54,Adult,Controlled Drugs and Substances Act,Other,1
19238,2018,D52,169,Bay-Cloverhill (169),Female,25 to 34,Adult,Other Criminal Code Violations,Other,3
19239,2014,D14,79,University (79),Male,18 to 24,Adult,Other Criminal Code Violations,Other,17
19240,2018,D51,72,Regent Park (72),Female,35 to 44,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
19241,2020,D43,135,Morningside (135),Female,<18,Youth,Crimes Against the Person,Other,1
19242,2018,D12,111,Rockcliffe-Smythe (111),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,4
19243,2021,D22,10,Princess-Rosethorn (10),Male,35 to 44,Adult,Crimes Against the Person,Assaults,4
19244,2020,D51,166,St Lawrence-East Bayfront-The Islands (166),Male,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,2
19245,2018,D51,71,Cabbagetown-South St.James Town (71),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,1
19246,2019,D51,167,Church-Wellesley (167),Female,35 to 44,Adult,Other Criminal Code Violations,Other,8
19247,2021,D43,142,Woburn North (142),Female,45 to 54,Adult,Crimes Against the Person,Other,1
19248,2014,D31,21,Humber Summit (21),Male,45 to 54,Adult,Crimes Against the Person,Other,4
19249,2021,D23,5,Elms-Old Rexdale (5),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,3
19250,2018,D32,152,East Willowdale (152),Male,18 to 24,Adult,Crimes Against Property,Other,1
19251,2015,D52,166,St Lawrence-East Bayfront-The Islands (166),Male,45 to 54,Adult,Crimes Against the Person,Other,5
19252,2022,D55,57,Broadview North (57),Male,35 to 44,Adult,Crimes Against the Person,Sexual Violations,1
19253,2019,D31,23,Pelmo Park-Humberlea (23),Male,35 to 44,Adult,Crimes Against the Person,Firearm-Related,1
19254,2016,D12,111,Rockcliffe-Smythe (111),Male,<18,Youth,Crimes Against the Person,Assaults,4
19255,2016,D51,70,South Riverdale (70),Male,35 to 44,Adult,Crimes Against the Person,Sexual Violations,1
19256,2019,D51,72,Regent Park (72),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Disqualified,1
19257,2022,D13,96,Casa Loma (96),Male,45 to 54,Adult,Crimes Against the Person,Other,2
19258,2014,D43,133,Centennial Scarborough (133),Male,45 to 54,Adult,Controlled Drugs and Substances Act,Other,1
19259,2014,D31,27,York University Heights (27),Female,25 to 34,Adult,Controlled Drugs and Substances Act,Other,1
19260,2021,D55,61,Taylor-Massey (61),Male,35 to 44,Adult,Crimes Against the Person,Sexual Violations,1
19261,2022,D51,71,Cabbagetown-South St.James Town (71),Male,25 to 34,Adult,Crimes Against Property,Other,8
19262,2016,D14,80,Palmerston-Little Italy (80),Male,45 to 54,Adult,Crimes Against the Person,Assaults,1
19263,2021,D23,1,West Humber-Clairville (1),Female,18 to 24,Adult,Crimes Against the Person,Assaults,6
19264,2022,D55,61,Taylor-Massey (61),Female,18 to 24,Adult,Crimes Against the Person,Other,1
19265,2014,D55,59,Danforth East York (59),Male,25 to 34,Adult,Crimes Against the Person,Firearm-Related,1
19266,2018,D55,43,Victoria Village (43),Male,25 to 34,Adult,Criminal Code Traffic,Other,1
19267,2017,D32,32,Englemount-Lawrence (32),Male,<18,Youth,Crimes Against Property,Other,1
19268,2016,D55,43,Victoria Village (43),Male,18 to 24,Adult,Crimes Against the Person,Robbery,1
19269,2016,D52,164,Wellington Place (164),Male,35 to 44,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
19270,2021,D32,50,Newtonbrook East (50),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
19271,2016,D55,61,Taylor-Massey (61),Male,25 to 34,Adult,Crimes Against Property,Other,8
19272,2019,D13,92,Corso Italia-Davenport (92),Male,55 to 64,Adult,Other Criminal Code Violations,Other,1
19273,2018,D32,27,York University Heights (27),Male,18 to 24,Adult,Crimes Against the Person,Other,1
19274,2022,D22,20,Alderwood (20),Male,45 to 54,Adult,Crimes Against Property,Fraud,1
19275,2017,D43,143,West Rouge (143),Male,<18,Youth,Crimes Against the Person,Other,1
19276,2019,D43,138,Eglinton East (138),Female,18 to 24,Adult,Other Criminal Code Violations,Other,2
19277,2021,D22,161,Humber Bay Shores (161),Male,55 to 64,Adult,Crimes Against Property,Other,1
19278,2015,D32,33,Clanton Park (33),Male,<18,Youth,Other Criminal Code Violations,Other,1
19279,2014,D41,120,Clairlea-Birchmount (120),Female,55 to 64,Adult,Crimes Against the Person,Assaults,2
19280,2020,D43,139,Scarborough Village (139),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,6
19281,2021,D43,136,West Hill (136),Male,35 to 44,Adult,Other Criminal Code Violations,Other,34
19282,2014,D42,146,Malvern East (146),Female,35 to 44,Adult,Crimes Against the Person,Assaults,3
19283,2017,D14,163,Fort York-Liberty Village (163),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,13
19284,2017,D43,156,Bendale-Glen Andrew (156),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,9
19285,2021,D43,141,Golfdale-Cedarbrae-Woburn (141),Female,<18,Youth,Crimes Against the Person,Assaults,1
19286,2018,D41,122,Birchcliffe-Cliffside (122),Male,45 to 54,Adult,Crimes Against the Person,Other,8
19287,2016,D43,139,Scarborough Village (139),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,2
19288,2015,D52,166,St Lawrence-East Bayfront-The Islands (166),Male,35 to 44,Adult,Crimes Against the Person,Other,2
